arch_config,gpu latency,flops,params,top1
"{'wid': None, 'ks': [5, 7, 3, 5, 5, 7, 7, 5, 3, 3, 3, 3, 7, 5, 3, 7, 7, 5, 7, 5], 'e': [4, 4, 4, 3, 3, 4, 3, 4, 6, 6, 4, 3, 6, 3, 6, 4, 3, 3, 4, 3], 'd': [2, 2, 2, 2, 2], 'r': [160]}",16.5505,146404224,4966736,74.47916667
"{'wid': None, 'ks': [7, 3, 7, 5, 7, 7, 7, 7, 3, 5, 5, 5, 3, 3, 5, 7, 5, 7, 7, 3], 'e': [4, 6, 3, 6, 3, 4, 6, 4, 6, 4, 6, 6, 6, 4, 6, 4, 3, 6, 6, 4], 'd': [2, 2, 2, 2, 2], 'r': [176]}",19.0044,191049760,5764528,76.04166667
"{'wid': None, 'ks': [5, 7, 5, 5, 7, 7, 7, 3, 3, 3, 7, 5, 5, 5, 5, 7, 7, 5, 7, 7], 'e': [4, 4, 3, 3, 6, 6, 4, 3, 6, 3, 6, 3, 6, 6, 4, 6, 6, 3, 6, 3], 'd': [2, 2, 2, 2, 2], 'r': [192]}",25.3908,250122432,5748816,78.125
"{'wid': None, 'ks': [7, 7, 5, 5, 3, 7, 7, 5, 3, 7, 7, 3, 7, 3, 3, 3, 3, 3, 3, 3], 'e': [6, 3, 4, 4, 4, 6, 6, 4, 6, 3, 3, 6, 3, 4, 6, 3, 4, 4, 4, 6], 'd': [2, 2, 2, 2, 2], 'r': [208]}",29.1573,271237408,5143784,77.8125
"{'wid': None, 'ks': [3, 5, 7, 5, 5, 5, 3, 5, 5, 5, 5, 7, 7, 3, 3, 3, 7, 5, 7, 5], 'e': [6, 6, 6, 4, 6, 4, 3, 4, 4, 3, 3, 6, 3, 4, 3, 4, 3, 3, 6, 6], 'd': [2, 2, 2, 2, 2], 'r': [224]}",30.33,293697504,4813408,75.9375
"{'wid': None, 'ks': [7, 3, 7, 5, 7, 3, 5, 3, 5, 3, 5, 3, 7, 3, 7, 7, 7, 3, 7, 3], 'e': [3, 6, 4, 6, 6, 4, 6, 3, 3, 3, 4, 6, 4, 4, 3, 3, 3, 4, 6, 6], 'd': [2, 2, 2, 2, 3], 'r': [160]}",15.7361,151908768,6221680,73.95833333
"{'wid': None, 'ks': [5, 3, 3, 5, 7, 3, 7, 5, 3, 5, 3, 5, 5, 3, 7, 7, 5, 3, 7, 3], 'e': [6, 6, 4, 6, 4, 4, 4, 4, 3, 3, 6, 4, 3, 6, 4, 4, 6, 6, 3, 3], 'd': [2, 2, 2, 2, 3], 'r': [176]}",19.9601,211999040,6574688,75
"{'wid': None, 'ks': [7, 5, 5, 3, 3, 7, 3, 7, 5, 5, 5, 3, 3, 7, 3, 7, 7, 5, 5, 7], 'e': [4, 6, 4, 4, 4, 6, 4, 6, 3, 3, 3, 3, 4, 6, 4, 6, 3, 3, 4, 6], 'd': [2, 2, 2, 2, 3], 'r': [192]}",24.4866,239615456,5788168,75.72916667
"{'wid': None, 'ks': [7, 3, 5, 3, 3, 5, 3, 3, 3, 7, 5, 7, 7, 7, 5, 3, 5, 3, 5, 7], 'e': [3, 6, 3, 3, 3, 6, 3, 4, 6, 3, 3, 4, 4, 4, 4, 3, 6, 3, 3, 6], 'd': [2, 2, 2, 2, 3], 'r': [208]}",26.6341,262579472,5704504,77.8125
"{'wid': None, 'ks': [5, 5, 5, 7, 7, 7, 5, 7, 5, 3, 3, 3, 3, 7, 5, 5, 3, 3, 7, 3], 'e': [3, 6, 3, 3, 6, 4, 4, 3, 3, 3, 4, 4, 4, 6, 6, 3, 4, 4, 4, 4], 'd': [2, 2, 2, 2, 3], 'r': [224]}",32.3572,317825184,6073736,77.08333333
"{'wid': None, 'ks': [3, 3, 5, 5, 3, 3, 7, 5, 5, 3, 7, 3, 7, 3, 3, 5, 7, 7, 3, 3], 'e': [3, 3, 3, 3, 6, 6, 3, 3, 4, 4, 3, 4, 6, 3, 3, 4, 3, 6, 4, 3], 'd': [2, 2, 2, 2, 4], 'r': [160]}",15.1534,147930752,6706088,72.39583333
"{'wid': None, 'ks': [7, 3, 5, 7, 3, 7, 5, 7, 5, 5, 5, 5, 5, 3, 5, 7, 7, 3, 5, 3], 'e': [6, 6, 3, 4, 3, 6, 3, 3, 4, 6, 6, 6, 3, 4, 4, 3, 4, 3, 6, 6], 'd': [2, 2, 2, 2, 4], 'r': [176]}",22.3688,234513088,7258704,75.41666667
"{'wid': None, 'ks': [5, 7, 3, 3, 7, 7, 5, 7, 3, 5, 7, 3, 5, 7, 7, 5, 3, 3, 7, 3], 'e': [6, 3, 3, 4, 3, 4, 6, 6, 6, 3, 4, 4, 6, 4, 6, 6, 6, 3, 6, 4], 'd': [2, 2, 2, 2, 4], 'r': [192]}",25.2182,257209280,7157032,77.70833333
"{'wid': None, 'ks': [5, 7, 7, 7, 3, 7, 5, 3, 5, 7, 3, 7, 7, 5, 7, 7, 3, 3, 7, 5], 'e': [6, 3, 6, 4, 3, 6, 6, 3, 4, 3, 6, 4, 4, 6, 4, 3, 6, 6, 4, 3], 'd': [2, 2, 2, 2, 4], 'r': [208]}",31.1031,318678144,7306776,78.64583333
"{'wid': None, 'ks': [5, 5, 5, 5, 3, 5, 3, 7, 5, 7, 5, 5, 7, 3, 5, 3, 7, 3, 3, 5], 'e': [3, 3, 4, 3, 4, 6, 3, 4, 6, 3, 4, 3, 6, 3, 6, 6, 3, 6, 4, 3], 'd': [2, 2, 2, 2, 4], 'r': [224]}",29.963,290620352,6668696,78.54166667
"{'wid': None, 'ks': [7, 3, 5, 5, 3, 5, 5, 3, 7, 3, 5, 7, 3, 7, 7, 5, 7, 7, 3, 5], 'e': [4, 4, 6, 4, 3, 6, 3, 3, 3, 6, 6, 6, 6, 3, 4, 4, 6, 4, 4, 3], 'd': [2, 2, 2, 3, 2], 'r': [160]}",17.4836,167509840,5926104,75.72916667
"{'wid': None, 'ks': [7, 5, 7, 5, 7, 5, 7, 7, 7, 5, 7, 7, 5, 3, 7, 7, 5, 3, 5, 5], 'e': [6, 6, 3, 4, 3, 3, 6, 6, 6, 3, 6, 4, 6, 6, 4, 6, 3, 6, 6, 6], 'd': [2, 2, 2, 3, 2], 'r': [176]}",25.064,237443888,6303768,76.875
"{'wid': None, 'ks': [3, 7, 7, 5, 3, 7, 3, 5, 3, 7, 5, 7, 7, 5, 5, 5, 5, 3, 7, 7], 'e': [6, 4, 3, 6, 6, 4, 6, 6, 4, 3, 3, 4, 4, 6, 3, 4, 3, 6, 4, 3], 'd': [2, 2, 2, 3, 2], 'r': [192]}",25.6738,254664672,6074552,77.8125
"{'wid': None, 'ks': [3, 7, 3, 3, 7, 5, 5, 7, 3, 5, 3, 7, 5, 7, 7, 3, 7, 7, 5, 7], 'e': [4, 3, 6, 6, 4, 6, 6, 3, 3, 4, 3, 6, 6, 4, 6, 3, 4, 6, 6, 4], 'd': [2, 2, 2, 3, 2], 'r': [208]}",30.485,302630720,6534768,79.6875
"{'wid': None, 'ks': [7, 7, 5, 7, 7, 7, 5, 3, 3, 7, 3, 5, 7, 7, 5, 3, 3, 5, 5, 3], 'e': [4, 4, 3, 6, 3, 3, 4, 4, 4, 3, 6, 6, 6, 3, 4, 6, 3, 6, 4, 4], 'd': [2, 2, 2, 3, 2], 'r': [224]}",32.9603,317143232,5937040,78.54166667
"{'wid': None, 'ks': [3, 5, 5, 3, 3, 3, 7, 5, 7, 7, 5, 5, 7, 3, 3, 3, 5, 3, 3, 5], 'e': [3, 3, 4, 3, 3, 6, 3, 3, 6, 6, 4, 6, 3, 6, 3, 4, 4, 4, 3, 4], 'd': [2, 2, 2, 3, 3], 'r': [160]}",16.5149,157453312,6070360,74.47916667
"{'wid': None, 'ks': [5, 7, 3, 3, 3, 5, 7, 3, 3, 3, 3, 3, 7, 7, 5, 3, 7, 3, 7, 7], 'e': [4, 4, 3, 3, 3, 4, 4, 4, 4, 6, 3, 4, 6, 3, 4, 3, 4, 4, 3, 3], 'd': [2, 2, 2, 3, 3], 'r': [176]}",21.4263,209134784,5998040,76.25
"{'wid': None, 'ks': [3, 7, 7, 7, 7, 5, 7, 5, 7, 3, 7, 3, 5, 7, 7, 3, 7, 7, 7, 5], 'e': [3, 4, 3, 4, 3, 4, 4, 4, 6, 3, 3, 6, 4, 6, 6, 6, 4, 4, 3, 6], 'd': [2, 2, 2, 3, 3], 'r': [192]}",25.7725,256082816,6521616,77.1875
"{'wid': None, 'ks': [5, 3, 3, 5, 3, 3, 5, 5, 5, 3, 3, 7, 5, 5, 7, 5, 5, 3, 3, 3], 'e': [3, 3, 3, 3, 3, 6, 6, 6, 3, 3, 6, 4, 3, 6, 3, 6, 3, 4, 4, 4], 'd': [2, 2, 2, 3, 3], 'r': [208]}",24.7244,248384512,6072200,77.08333333
"{'wid': None, 'ks': [7, 3, 3, 7, 5, 7, 7, 3, 7, 7, 7, 7, 7, 5, 3, 5, 7, 3, 5, 7], 'e': [3, 4, 4, 6, 3, 4, 4, 4, 3, 4, 6, 6, 6, 3, 6, 3, 4, 4, 4, 3], 'd': [2, 2, 2, 3, 3], 'r': [224]}",32.3906,318952704,6418568,79.27083333
"{'wid': None, 'ks': [5, 5, 5, 7, 7, 7, 3, 7, 5, 3, 5, 5, 7, 3, 3, 3, 5, 5, 7, 7], 'e': [4, 4, 4, 6, 6, 3, 3, 4, 4, 6, 4, 4, 4, 4, 6, 3, 6, 6, 3, 6], 'd': [2, 2, 2, 3, 4], 'r': [160]}",19.4308,200437424,8203000,76.35416667
"{'wid': None, 'ks': [7, 7, 3, 3, 7, 7, 3, 5, 7, 3, 7, 7, 3, 3, 7, 7, 3, 7, 7, 3], 'e': [4, 4, 6, 3, 4, 3, 3, 3, 6, 3, 6, 4, 3, 4, 6, 6, 3, 3, 3, 4], 'd': [2, 2, 2, 3, 4], 'r': [176]}",22.557,224450320,6418024,75.9375
"{'wid': None, 'ks': [7, 3, 5, 5, 3, 7, 5, 3, 7, 5, 5, 5, 7, 7, 3, 5, 3, 7, 7, 7], 'e': [3, 4, 4, 6, 6, 4, 3, 4, 3, 6, 6, 3, 6, 6, 4, 4, 3, 4, 6, 3], 'd': [2, 2, 2, 3, 4], 'r': [192]}",26.4747,271700192,7474640,78.4375
"{'wid': None, 'ks': [7, 5, 5, 7, 7, 7, 5, 3, 5, 3, 3, 7, 5, 7, 3, 5, 5, 7, 3, 3], 'e': [6, 6, 6, 6, 4, 6, 4, 4, 6, 6, 6, 4, 3, 6, 6, 4, 4, 6, 3, 3], 'd': [2, 2, 2, 3, 4], 'r': [208]}",36.3492,389697056,7443728,79.58333333
"{'wid': None, 'ks': [5, 5, 3, 5, 5, 3, 5, 3, 5, 5, 5, 5, 5, 5, 3, 5, 7, 3, 3, 3], 'e': [6, 4, 4, 4, 3, 3, 3, 4, 6, 4, 6, 6, 6, 4, 4, 6, 4, 4, 3, 3], 'd': [2, 2, 2, 3, 4], 'r': [224]}",33.5007,347801120,6416288,79.6875
"{'wid': None, 'ks': [3, 7, 3, 3, 7, 7, 7, 5, 7, 7, 7, 7, 3, 7, 3, 7, 3, 7, 5, 7], 'e': [4, 4, 6, 3, 4, 3, 3, 4, 3, 3, 6, 4, 6, 4, 4, 4, 3, 6, 3, 3], 'd': [2, 2, 2, 4, 2], 'r': [160]}",19.1849,179442400,6368400,76.875
"{'wid': None, 'ks': [7, 3, 5, 7, 3, 5, 7, 5, 7, 3, 5, 3, 7, 5, 5, 7, 5, 3, 7, 5], 'e': [3, 4, 3, 6, 3, 6, 4, 6, 4, 6, 6, 4, 3, 6, 6, 3, 6, 4, 3, 4], 'd': [2, 2, 2, 4, 2], 'r': [176]}",21.9282,228924832,6545840,77.8125
"{'wid': None, 'ks': [7, 7, 7, 7, 5, 5, 7, 5, 3, 5, 5, 5, 7, 7, 7, 7, 3, 5, 7, 7], 'e': [4, 6, 3, 6, 3, 4, 4, 4, 4, 4, 6, 3, 3, 3, 6, 4, 3, 6, 6, 3], 'd': [2, 2, 2, 4, 2], 'r': [192]}",29.0285,281050592,6378192,78.95833333
"{'wid': None, 'ks': [3, 7, 3, 7, 7, 7, 7, 3, 3, 7, 5, 5, 3, 7, 3, 3, 7, 5, 7, 7], 'e': [3, 3, 4, 3, 6, 3, 3, 3, 6, 6, 6, 4, 3, 4, 3, 6, 4, 6, 4, 6], 'd': [2, 2, 2, 4, 2], 'r': [208]}",31.0622,309795136,6523224,79.27083333
"{'wid': None, 'ks': [5, 7, 3, 3, 7, 5, 3, 7, 5, 3, 5, 7, 7, 3, 5, 3, 5, 5, 7, 7], 'e': [3, 3, 6, 4, 3, 3, 4, 4, 3, 3, 3, 4, 6, 3, 6, 4, 6, 3, 6, 3], 'd': [2, 2, 2, 4, 2], 'r': [224]}",32.3469,326435520,6141104,78.75
