,time,train_ratio,args.mtl_ratio,test accuracy,max valid acc,train_loss,val_loss,best epoch,,,
lstm_fixed2021030922150808,2021031219422020,"[100, 200, 500]","[0, 1, 0, 0]","[0.9476152304609219, 0.8538436873747495, 0.9584168336673347, 0.9556072144288578]","[0.9541708542713568, 0.8526633165829146, 0.9603517587939698, 0.9603517587939698]","tensor([0.0127, 0.0441, 0.0094, 0.0101], device='cuda:0')","tensor([0.4272, 3.5713, 0.4572, 0.2967], device='cuda:0')",4
lstm_fixed2021030922152121,2021031219430707,"[50, 200, 500]","[0, 1, 0, 0]","[0.9230581162324649, 0.8414549098196393, 0.9470220440881764, 0.9442444889779559]","[0.9271356783919598, 0.8362311557788945, 0.9492462311557789, 0.9482663316582914]","tensor([0.0290, 0.0913, 0.0202, 0.0227], device='cuda:0')","tensor([0.9094, 4.6358, 0.7870, 0.4739], device='cuda:0')",0
lstm_fixed2021030922145959,2021031219434444,"[200, 200, 500]","[0, 1, 0, 0]","[0.9607414829659319, 0.83887374749499, 0.9722845691382765, 0.9675911823647294]","[0.959572864321608, 0.841608040201005, 0.9735175879396984, 0.9706281407035176]","tensor([0.0063, 0.0083, 0.0040, 0.0025], device='cuda:0')","tensor([0.3596, 5.0257, 0.2861, 0.1834], device='cuda:0')",9
lstm_fixed2021030922144646,2021031219442323,"[400, 200, 500]","[0, 1, 0, 0]","[0.9714709418837675, 0.8436472945891783, 0.9798717434869739, 0.9775110220440881]","[0.9723869346733668, 0.8544723618090452, 0.9783417085427135, 0.9784673366834171]","tensor([0.0027, 0.0029, 0.0027, 0.0016], device='cuda:0')","tensor([0.2367, 3.5635, 0.1557, 0.1186], device='cuda:0')",0
lstm_256,2021031408590808,"[50, 200, 500]","[0, 1, 0, 0]","[0.4755871743486974, 0.8464809619238477, 0.5, 0.50062124248497]","[0.4632914572864322, 0.8499748743718593, 0.5, 0.500251256281407]","tensor([1.9466, 0.3615, 2.1420, 2.4929], device='cuda:0')","tensor([16.9899,  4.0266, 22.1789, 16.5313], device='cuda:0')",5
lstm_256,2021031409002424,"[200, 200, 500]","[0, 1, 0, 0]","[0.528749498997996, 0.8702164328657315, 0.5340681362725451, 0.4987454909819639]","[0.5311306532663317, 0.8717587939698492, 0.5286683417085427, 0.4989195979899497]","tensor([1.7949, 0.2936, 1.8461, 2.6426], device='cuda:0')","tensor([14.9344,  2.5267, 18.4116, 17.2144], device='cuda:0')",3
lstm_256,2021031408592222,"[100, 200, 500]","[0, 1, 0, 0]","[0.460312625250501, 0.8633827655310621, 0.2838557114228457, 0.5020360721442886]","[0.45163316582914576, 0.8649246231155779, 0.28193467336683414, 0.5003517587939699]","tensor([2.2690, 0.4376, 2.1300, 2.3884], device='cuda:0')","tensor([17.9891,  2.9416, 20.8820, 17.7981], device='cuda:0')",2
lstm_256,2021031409004141,"[400, 200, 500]","[0, 1, 0, 0]","[0.5268737474949899, 0.8679158316633266, 0.6290981963927855, 0.5191503006012024]","[0.5367085427135678, 0.8682663316582915, 0.6343969849246232, 0.5192964824120603]","tensor([2.1240, 0.2694, 1.8751, 2.2207], device='cuda:0')","tensor([15.4826,  2.6116, 17.0799, 15.7083], device='cuda:0')",4
lstm_512,2021031409022323,"[100, 200, 500]","[0, 1, 0, 0]","[0.31660521042084167, 0.8635270541082164, 0.263438877755511, 0.5586693386773547]","[0.3215075376884422, 0.8646984924623116, 0.24095477386934674, 0.5614572864321608]","tensor([2.4616, 0.3962, 2.0394, 2.2085], device='cuda:0')","tensor([19.0444,  2.9096, 19.7822, 15.7163], device='cuda:0')",2
lstm_512,2021031409023636,"[50, 200, 500]","[0, 1, 0, 0]","[0.590937875751503, 0.8491302605210421, 0.5045050100200401, 0.484937875751503]","[0.5861557788944723, 0.8517839195979899, 0.5064572864321608, 0.4907035175879397]","tensor([1.6162, 0.3984, 1.6752, 2.5392], device='cuda:0')","tensor([13.9110,  3.6981, 18.1843, 16.8955], device='cuda:0')",3
